Project,Source Repo,Source Sha,Dist Repo,Dist Sha,Status,Last Success Timestamp,Pkg NVR
puppet-aodh,git://git.openstack.org/openstack/puppet-aodh,8671eaa64e1edb0ade4cc340ea9bcf73dff75edd,https://github.com/rdo-packages/puppet-aodh-distgit.git,7ba734388b22aa1ee082a2abdebdbcb884e750b2,SUCCESS,1480626633,puppet-aodh-10.0.0-0.20161201211204.8671eaa.el7.centos
puppet-barbican,git://git.openstack.org/openstack/puppet-barbican,b6433de468ca384d4ed2f425f2aba98b027b9553,https://github.com/rdo-packages/puppet-barbican-distgit.git,22b23a57c94e6e71145a2897261e3ed88afa712a,SUCCESS,1480416136,puppet-barbican-10.0.0-0.20161129104339.b6433de.el7.centos
puppet-ceilometer,git://git.openstack.org/openstack/puppet-ceilometer,73a2d03e713d7d9d6dbf34598b455f6203e04f96,https://github.com/rdo-packages/puppet-ceilometer-distgit.git,2ea4e706e0d0e983ab49e90bc4d81fbb9c895bf3,SUCCESS,1480626758,puppet-ceilometer-10.0.0-0.20161201211249.73a2d03.el7.centos
puppet-cinder,git://git.openstack.org/openstack/puppet-cinder,c9ad821c93c08f9b2b07312167bb6000d7ac0308,https://github.com/rdo-packages/puppet-cinder-distgit.git,92b8d4cc6c29368bcda3c915e35fe661cce65ab9,SUCCESS,1480639882,puppet-cinder-10.0.0-0.20161202005251.c9ad821.el7.centos
puppet-designate,git://git.openstack.org/openstack/puppet-designate,b04ed97b9a22282b133764eddd5e93ca8527f8e1,https://github.com/rdo-packages/puppet-designate-distgit.git,f401931d3b05f5568b3db5e5f8b80e0c3c36e555,SUCCESS,1481051650,puppet-designate-10.0.0-0.20161206191533.b04ed97.el7.centos
puppet-glance,git://git.openstack.org/openstack/puppet-glance,634b182f5567dd6d238c60400be05eb4028d8933,https://github.com/rdo-packages/puppet-glance-distgit.git,cde10d5ba0d1dbef6ce90cb7b36c750ccd4c51b5,SUCCESS,1480626804,puppet-glance-10.0.0-0.20161201211336.634b182.el7.centos
puppet-gnocchi,git://git.openstack.org/openstack/puppet-gnocchi,fda9e7d52c3ba979efc44076f830d19b01494d59,https://github.com/rdo-packages/puppet-gnocchi-distgit.git,1f5a7f1bc2a7f2749ae623924f1493f9cf6a8f14,SUCCESS,1480641585,puppet-gnocchi-10.0.0-0.20161202012113.fda9e7d.el7.centos
puppet-heat,git://git.openstack.org/openstack/puppet-heat,258cf390a1845da014d69ea4b4fff7ca94c987a3,https://github.com/rdo-packages/puppet-heat-distgit.git,924c760c0643f0da1c1c1e145ef31ceba22c161b,SUCCESS,1480626852,puppet-heat-10.0.0-0.20161201211539.258cf39.el7.centos
puppet-horizon,git://git.openstack.org/openstack/puppet-horizon,7cbcc78baa5ebe91d0dc990f5f1235a9ff2159e6,https://github.com/rdo-packages/puppet-horizon-distgit.git,6fe00a296a5f7c57d67152887271169674b1b167,SUCCESS,1480429337,puppet-horizon-10.0.0-0.20161129142339.7cbcc78.el7.centos
puppet-ironic,git://git.openstack.org/openstack/puppet-ironic,6cfed073dcfa451e5e54ee3219b58c5ce6d2e787,https://github.com/rdo-packages/puppet-ironic-distgit.git,f772938f77db0b472c08ba3275f675672d6d0599,SUCCESS,1481060690,puppet-ironic-10.0.0-0.20161206214612.6cfed07.el7.centos
